filename	total_length	ncontigs	mean_length	longest	shortest	N_count	Gaps	N50	N50n	N70	N70n	N90	N90n
DRR122220.fasta	5585719	90	62063.54	516299	532	586	6	201631	9	115968	17	43891	32
DRR122222.fasta	5552568	68	81655.41	482098	520	781	8	297347	8	251069	11	93210	18
DRR122224.fasta	5550349	69	80439.84	712369	520	486	5	297448	6	221794	10	93210	17
DRR122227.fasta	5554450	67	82902.24	726612	520	198	2	353275	5	182381	9	93210	17
DRR122228.fasta	5553721	70	79338.87	726612	501	196	2	310307	7	222458	11	69113	19
DRR122229.fasta	5484016	60	91400.27	693810	501	195	2	297348	7	251069	11	93405	18
DRR122230.fasta	5552503	74	75033.82	473386	502	197	2	285098	8	222458	12	93004	20
DRR122232.fasta	5552744	74	75037.08	521004	520	785	8	309901	7	210129	12	80598	20
DRR122233.fasta	5777205	99	58355.61	575047	520	389	4	248991	8	146337	14	41794	29
DRR122235.fasta	5531432	78	70915.79	523432	520	589	6	287625	8	222192	12	70618	21
DRR122236.fasta	5552757	75	74036.76	522309	520	786	8	310100	7	251069	11	93210	18
DRR122238.fasta	5658317	60	94305.28	1362585	509	386	4	354784	5	245740	8	99441	15
DRR122239.fasta	5533578	68	81376.15	473575	518	492	5	297448	8	229672	12	93004	19
DRR122241.fasta	5596729	63	88836.97	473386	531	492	5	294666	8	224387	12	93004	21
DRR122242.fasta	5552977	71	78210.94	474082	520	586	6	297348	8	229672	12	72130	19
DRR122246.fasta	5542428	70	79177.54	726612	531	688	7	345438	6	225322	10	72130	18
DRR122247.fasta	5548527	73	76007.22	693545	501	392	4	296725	7	209967	12	72130	21
DRR122249.fasta	5551319	72	77101.65	702990	520	688	7	296973	7	222458	11	74792	20
DRR122250.fasta	5629413	118	47706.89	291437	523	4037	41	106319	18	70300	31	33876	54
DRR122251.fasta	5547470	77	72045.06	473386	509	594	6	297348	8	222035	12	80598	21
DRR122252.fasta	5554821	73	76093.44	473386	501	881	9	293502	8	229538	12	93004	20
DRR122253.fasta	5550615	81	68526.11	402314	520	1174	12	251406	9	172478	14	70618	24
DRR122254.fasta	5498466	56	98186.89	876573	509	392	4	294941	7	177955	11	92522	20
DRR122255.fasta	5656682	89	63558.22	735091	655	494	5	258909	7	141155	13	48378	25
DRR122256.fasta	5553082	73	76069.62	701773	520	294	3	310331	7	251069	11	72130	18
DRR122257.fasta	5552327	73	76059.27	702039	520	690	7	310100	7	251069	11	93004	18
DRR122260.fasta	5523270	59	93614.75	1221158	520	197	2	345770	5	293741	9	93210	14
DRR122261.fasta	5555774	63	88186.89	827156	520	392	4	393082	5	229205	9	93004	16
DRR122262.fasta	5646348	72	78421.50	728775	521	388	4	252476	8	189412	13	81794	22
DRR122263.fasta	5553862	68	81674.44	899572	501	686	7	393468	5	294892	8	93004	15
DRR122264.fasta	5553757	82	67728.74	473386	501	984	10	239401	9	148760	15	69112	25
DRR122265.fasta	5581786	72	77524.81	712435	509	693	7	295761	7	229672	11	60899	21
DRR122266.fasta	5554248	74	75057.41	639781	520	786	8	297348	7	182381	11	73440	20
DRR122267.fasta	5582869	74	75444.18	513161	531	886	9	294967	8	182379	12	81794	21
DRR122268.fasta	5612133	59	95120.90	735091	509	584	6	293871	6	214706	10	63647	19
DRR122270.fasta	5528907	50	110578.14	1256592	547	592	6	330110	5	293287	8	74123	19
DRR122271.fasta	5553307	77	72120.87	474082	520	692	7	293942	8	229742	12	93004	21
DRR122272.fasta	5646224	73	77345.53	581211	521	100	1	249134	8	169176	13	77141	23
DRR122273.fasta	5610357	91	61652.27	969353	507	1075	11	393468	5	294302	9	57131	17
DRR122274.fasta	5498216	63	87273.27	942681	545	982	10	426618	5	292330	8	74123	16
DRR122275.fasta	5479768	65	84304.12	712493	520	488	5	334374	6	229672	10	93210	16
DRR122276.fasta	5479379	69	79411.29	584841	509	587	6	323430	7	219698	11	74659	19
DRR122277.fasta	5617224	94	59757.70	899850	510	980	10	345799	6	294503	9	52386	18
DRR122278.fasta	5520722	60	92012.03	969047	520	392	4	393469	5	293741	8	93210	14
DRR122279.fasta	5394381	55	98079.65	728222	501	591	6	295070	7	229742	11	93004	17
DRR122280.fasta	5508907	60	91815.12	1080778	548	197	2	392857	5	229429	9	93136	16
DRR122281.fasta	5551768	75	74023.57	475768	502	395	4	293942	8	222194	12	93210	19
DRR122284.fasta	5550933	71	78182.15	474082	531	294	3	297474	8	230107	12	72130	20
DRR122286.fasta	5443187	63	86399.79	711904	531	294	3	345428	6	293741	9	93004	16
DRR122287.fasta	5553739	76	73075.51	723724	502	988	10	311039	7	221936	11	93004	18
DRR122288.fasta	5553494	80	69418.68	473386	507	685	7	293942	8	221839	12	93210	19
DRR122289.fasta	5484730	74	74117.97	572607	536	487	5	248222	9	166200	14	59513	25
DRR122290.fasta	5553128	74	75042.27	712408	520	395	4	345428	6	251069	10	69112	18
DRR122291.fasta	5554937	75	74065.83	712658	520	292	3	293741	7	221794	12	70618	20
DRR122292.fasta	5553522	71	78218.62	712362	501	289	3	345284	6	251069	10	93210	16
DRR122294.fasta	5602469	75	74699.59	693423	520	488	5	310729	7	234665	11	93004	18
DRR122295.fasta	5552934	79	70290.30	481909	520	100	1	251069	8	177822	14	62271	22
DRR122296.fasta	5552743	75	74036.57	712310	520	197	2	297248	7	229672	11	72130	18
DRR122297.fasta	5550851	80	69385.64	473386	502	0	0	285322	8	182381	13	69112	22
DRR122298.fasta	5490753	64	85793.02	942377	545	879	9	355456	5	292634	9	70715	18
DRR122444.fasta	5623767	75	74983.56	492011	509	483	5	218097	9	148659	15	71736	25
DRR122445.fasta	5560730	87	63916.44	517681	532	679	7	234215	9	131369	16	47026	30
DRR122446.fasta	5627850	66	85270.45	729031	509	488	5	275010	7	159287	12	92397	21
DRR122447.fasta	5745631	59	97383.58	728928	517	592	6	299442	7	169511	13	99441	21
DRR122448.fasta	5584474	83	67282.82	517445	532	393	4	270237	8	136674	14	52645	27
DRR122449.fasta	5595852	88	63589.23	454593	532	197	2	242473	9	136674	15	52645	28
DRR122450.fasta	5746407	48	119716.81	1248180	638	596	6	421383	5	321153	8	85137	16
DRR122452.fasta	5578797	89	62683.11	517601	536	882	9	199176	10	118639	17	49848	31
DRR122454.fasta	5583476	89	62735.69	518268	536	591	6	203751	9	118639	15	47026	31
DRR122455.fasta	5615199	81	69323.44	418944	512	886	9	253668	9	163615	15	60234	25
DRR122456.fasta	5585292	85	65709.32	517693	532	385	4	270355	8	131370	15	49849	29
DRR122459.fasta	5578257	90	61980.63	513890	512	876	9	223089	8	158983	13	50799	25
DRR122461.fasta	5517246	62	88987.84	492332	521	394	4	319226	7	245597	11	92369	20
DRR122463.fasta	5736256	49	117066.45	774430	638	493	5	394909	6	330999	9	93405	16
DRR122465.fasta	5577247	88	63377.81	517445	532	488	5	203883	9	131226	15	52645	28
DRR122466.fasta	5576842	87	64101.63	517555	532	387	4	194894	10	111821	17	52645	31
DRR122469.fasta	5527238	59	93682.00	728766	509	481	5	299583	7	218097	11	86569	19
DRR122470.fasta	5577249	83	67195.77	517555	536	487	5	233780	9	131297	15	52645	28
DRR122472.fasta	5609191	87	64473.46	517693	532	487	5	233780	9	136674	15	40915	29
DRR122474.fasta	5575991	80	69699.89	517571	536	288	3	270280	8	136674	14	52645	27
DRR122475.fasta	5590383	95	58846.14	517861	532	394	4	270240	8	136674	14	49849	28
DRR122480.fasta	5697501	102	55857.85	872956	504	891	9	428329	5	359753	8	123715	12
DRR122482.fasta	5541615	53	104558.77	1412169	547	587	6	426529	4	292330	7	77573	16
DRR122483.fasta	5462558	61	89550.13	1001231	538	291	3	351357	5	237895	8	86569	16
DRR122484.fasta	5523332	56	98630.93	1012879	547	388	4	354991	5	292594	8	78762	16
DRR122489.fasta	5664041	82	69073.67	666599	514	490	5	207203	9	145752	15	69486	27
DRR122490.fasta	5750185	125	46001.48	747490	500	299	3	461689	5	167531	9	54070	21
DRR122492.fasta	5625344	54	104173.04	1356252	508	682	7	581743	4	248939	7	101248	13
DRR122497.fasta	5350722	34	157374.18	1475940	599	1272	13	473835	3	268961	7	147891	12
DRR122502.fasta	5675542	52	109145.04	729160	509	197	2	299583	7	230487	11	99441	19
DRR122503.fasta	5540540	56	98938.21	492167	509	685	7	260016	8	198735	13	86569	21
DRR122504.fasta	5538370	51	108595.49	729195	520	297	3	299583	7	214378	11	99441	18
DRR122505.fasta	5455254	54	101023.22	729111	518	198	2	299583	7	214609	11	86569	19
DRR122507.fasta	5584026	69	80927.91	492421	509	879	9	299688	8	213029	13	77141	21
DRR122511.fasta	5410623	57	94923.21	1256191	610	195	2	402553	5	292330	8	77877	16
DRR122513.fasta	5674137	56	101323.88	505649	509	493	5	299688	7	214609	12	92967	21
DRR122515.fasta	5578110	82	68025.73	517555	536	194	2	203759	9	131226	15	52619	28
DRR122516.fasta	5540383	46	120443.11	729562	520	300	3	344499	7	250427	10	106442	17
DRR122517.fasta	5579176	83	67218.99	427801	532	295	3	194894	10	114550	17	52645	32
DRR122519.fasta	5585363	86	64946.08	517555	532	291	3	270122	8	136674	14	52645	28
DRR122526.fasta	5534082	76	72816.87	381901	529	389	4	269495	9	156626	14	42625	27
DRR122528.fasta	5436392	76	71531.47	514423	514	397	4	295769	7	161878	13	61275	22
DRR122532.fasta	5440216	76	71581.79	514423	504	588	6	356629	7	165931	12	52967	22
DRR122535.fasta	5540536	56	98938.14	492495	509	884	9	250326	8	193858	14	86569	22
DRR122537.fasta	5538501	47	117840.45	728793	520	288	3	260016	7	214378	12	113062	18
DRR122538.fasta	5578190	86	64862.67	517445	510	492	5	198241	9	118639	16	52645	30
DRR122539.fasta	5571835	84	66331.37	517433	532	592	6	203883	9	131154	15	52645	28
DRR122541.fasta	5580300	84	66432.14	517556	532	780	8	202083	9	131226	16	52645	30
DRR122542.fasta	5529406	63	87768.35	729809	509	292	3	258911	7	193847	12	71906	21
