id	species	species_abbv	species_gp	S_SC_ST	SC	ST	plate_type	group_summary	group_summary_l2	virulence_score	esistance_score	num_resistance_classes	num_resistance_genes	Yersiniabactin	YbST	Colibactin	CbST	Aerobactin	AbST	Salmochelin	SmST	mpA	mpA2	wzi	K_locus	K_locus_problems	K_locus_confidence	K_locus_identity	K_locus_missing_genes	O_locus	O_locus_problems	O_locus_confidence	O_locus_identity	O_locus_missing_genes	Chr_ST	iucA	iucB	iucC	iucD	iutA	iroB	iroC	iroD	iroN	AGly	C	Fcyn	Flq	Gly	MLS	Ntmdz	Phe	Rif	S	Te	Tg	Tm	Omp	B	Bla_Carb	Bla_ESBL	Bla_ESBL_inhR	Bla_broad	Bla_broad_inhR	Amikacin_in	Amoxicillin_clavulanic_acid_in	Ampicillin_in	Aztreonam_in	Cefalexin_in	Cefepime_in	Cefixime_in	Cefotaxime_in	Cefoxitin_in	Ceftazidime_in	Ceftriaxone_in	Cefuroxime_in	Ciprofloxacin_in	Colistin_in	Ertapenem_in	Fosfomycin_G6P_in	Gentamicin_in	Imipenem_in	Levofloxacin_in	Mecillinam_in	Meropenem_in	Nalidixic_acid_in	Nitrofurantoin_in	Norfloxacin_in	Piperacillin_in	Piperacillin_tazobactam_in	Temocillin_in	Ticarcillin_clavulanic_acid_in	Tigecycline_in	Tobramycin_in	Trimethoprim_in	Trimethoprim_sulfamethoxazole_in	SAMPLE_DATE	ye	month	day	GROUP	ENVIRONMENTAL_GROUP	place_sampling	ORIGIN	specific_group	ASSOCIATED_GROUP	ASSOCIATED_SPECIES	GENERAL_ISOLATION_SOURCE	TYPE	IN_OUT	SAMPLE_TYPE	SAMPLE_DESCRIPTION	total_length	ncontigs	mean_length	longest	shortest	N_count	Gaps	N50	N50n	N70	N70n	N90	N90n
SPARK_100_C1	Klebsiella pneumoniae	K.pne	K.pne SPEC	K.pne_SC81_ST3827	SC81	ST3827	SCAI	cow	other mammals	0	0.0	1.0	0.0	-	0	-	0	-	0	-	0	-	-	wzi113	KL111	none	Perfect	100.00%		O3b	none	Very high	99.22%		ST3827	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	SHV-11^	-	S	S	R	S	S	S	S		ND	S	S	S	S	S	S	S	S	S	S	ND	S	ND	R	S	R	S	ND	S	I	S	S	S	2017-07-26	2017.0	7.0	26.0	ANIMAL		Pavia_province_2	farm	farm_1			bedding	environment		bedding	bull_bedding	5399156	30	179971.87	1073193	391	232	5	610056	4	348445	6	103204	12
SPARK_1010_C1	Klebsiella michiganensis	K.mic	K.oxy SPEC	K.mic_SC12_NA	SC12		SCAI	human - hospital carriage	human	0	0.0	1.0	2.0	-	0	-	0	-	0	-	0	-	-	-	KL152	none	Very high	98.26%		O2v1	-+*	Good	72.11%	O1/O2v1_03_wbbM,O1/O2v1_05_wbbN,O1/O2v1_07_kfoC		-	-	-	-	-	-	-	-	-	Aph3''Ia*?	-	-	-	-	-	-	-	-	-	-	-	-	-	OXY1-3*	-	-	-	-	-	S	S	R	S	S	S	S	ND	ND	S	S	S	S	S	S	S	S	S	S	ND	S	ND	ND	S	S	S	ND	S	S	S	S	S	2018-01-03	2018.0	1.0	3.0	HUMAN			hospital	hospital_2	mammal	human	human	human hospital	inpatient	feces		6122984	48	127562.17	754009	311	537	6	417383	6	358287	9	134669	14
SPARK_1011_C1	Klebsiella pneumoniae	K.pne	K.pne SPEC	K.pne_SC6_ST37	SC6	ST423	SCAI	human - hospital carriage	human	1	0.0	1.0	0.0	ybt 9; ICEKp3	183-1LV	-	0	-	0	-	0	-	-	wzi8	KL8	none	Very high	99.85%		O2v2	none	Very high	98.44%		ST423	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	SHV-11^	-	S	S	R	S	S	S	S	ND	ND	S	S	S	S	S	S	S	S	S	S	ND	S	ND	ND	S	S	S	ND	S	S	S	S	S	2018-01-04	2018.0	1.0	4.0	HUMAN			hospital	hospital_4	mammal	human	human	human hospital	inpatient	feces		5891772	64	92058.94	1059777	358	73	2	596398	4	249062	7	39601	18
SPARK_1012_C1	Klebsiella variicola subsp. variicola	K.var	K.pne SPEC	K.var_SC41_ST2462-2LV	SC41	ST2462-2LV	SCAI	other mammals	other mammals	0	0.0	0.0	0.0	-	0	-	0	-	0	-	0	-	-	wzi458	KL39	+*	Good	91.84%		O5	none	Very high	99.56%		ST2462-2LV	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	LEN-2^	-	-	-	-	-	S	S	R	S	S	S	S		ND	S	S	S	S	S	S	S	S	S	S	ND	S	ND	S	S	S	S	ND	S	I	S	S	S	2017-12-30	2017.0	12.0	30.0	ANIMAL		Pavia_province_144	domesticated_animal	Pavia_province_144	mammal	rabbit	rabbit	companion animal		rectal_swab	rabbit_369408B	5566088	27	206151.41	1410673	304	109	3	1391192	2	382117	4	190842	8
SPARK_1013_C1	Klebsiella ornithinolytica	K.orn	K.orn SPEC	K.orn_SC3_NA	SC3		SCAI	poultry	birds	1	0.0	4.0	6.0	ybt unknown	0	-	0	-	0	-	0	-	-	-	KL17	?-+*	None	75.03%	KL17_02_cpsACP,KL17_05_wzb,KL17_07_wzy,KL17_08_wctR,KL17_09_wctS,KL17_10_wctT,KL17_11_wctU,KL17_12_wcaJ,KL17_13_wcmZ,KL17_14_wzx	O12	-+*	Good	75.21%	O12_05_wbbL,O12_08_wbbB		-	-	-	-	-	-	-	-	-	-	-	-	Qnr-S1	-	-	-	-	-	SulI	TetA	-	DfrA1	-	LAP-2;ORN1a*	-	-	-	-	-	S	S	R	S	S	S	S		ND	S	S	S	R	S	S	S	S	S	R	ND	S	ND	S	R	S	S	ND	S	I	S	R	R	2017-12-28	2017.0	12.0	28.0	ANIMAL		Pavia_province_61	farm	farm_21	bird	duck	duck	livestock		rectal_swab	duck_364824	5439162	18	302175.67	1097315	526	101	3	898210	3	401705	5	328425	8
SPARK_1013_C2	Klebsiella ornithinolytica	K.orn	K.orn SPEC	K.orn_SC3_NA	SC3		SCAI	poultry	birds	1	0.0	4.0	6.0	ybt unknown	0	-	0	-	0	-	0	-	-	-	KL17	?-+*	None	75.03%	KL17_02_cpsACP,KL17_05_wzb,KL17_07_wzy,KL17_08_wctR,KL17_09_wctS,KL17_10_wctT,KL17_11_wctU,KL17_12_wcaJ,KL17_13_wcmZ,KL17_14_wzx	O12	-+*	Good	75.21%	O12_05_wbbL,O12_08_wbbB		-	-	-	-	-	-	-	-	-	-	-	-	Qnr-S1	-	-	-	-	-	SulI	TetA	-	DfrA1	-	LAP-2;ORN1a*	-	-	-	-	-	S	S	R	S	S	S	S		ND	S	S	S	R	S	S	S	S	S	R	ND	S	ND	S	R	S	S	ND	S	I	S	R	R	2017-12-28	2017.0	12.0	28.0	ANIMAL		Pavia_province_61	farm	farm_21	bird	duck	duck	livestock		rectal_swab	duck_364824	5438017	18	302112.06	1096455	306	73	1	898273	3	406565	5	235298	8
SPARK_1014_C1	Klebsiella pneumoniae	K.pne	K.pne SPEC	K.pne_SC4_ST45	SC4	ST45	SCAI	human - hospital carriage	human	1	2.0	9.0	13.0	ybt 10; ICEKp4	78	-	0	-	0	-	0	-	-	wzi101	KL24	none	Very high	99.01%		O2v1	none	Very high	98.76%		ST45	-	-	-	-	-	-	-	-	-	Aac3-IIa^;StrA^;StrB	-	-	QnrB1?	-	-	-	CatB4	-	SulII	TetA	-	DfrA14	-	OXA-1;OXA-9*;TEM-1D^	KPC-2	CTX-M-15	-	SHV-1?	-	S	R	R	R	R	R	R	ND	ND	R	R	R	R	S	R	S	R	I	R	R	I	ND	S	R	R	R	ND	R	I	R	R	R	2018-01-02	2018.0	1.0	2.0	HUMAN			hospital	hospital_2	mammal	human	human	human hospital	inpatient	feces		5762246	56	102897.25	621579	319	328	2	316295	7	173771	11	76256	21
SPARK_1014_C2	Klebsiella pneumoniae	K.pne	K.pne SPEC	K.pne_SC1_ST307	SC1	ST307	SCAI	human - hospital carriage	human	0	1.0	9.0	17.0	-	0	-	0	-	0	-	0	-	-	wzi173	KL102	none	Very high	99.27%		O2v2	none	Very high	98.45%		ST307	-	-	-	-	-	-	-	-	-	Aac3-IIa^;AadA2^;Aph3-Ia^;StrA*;StrB	-	-	GyrA-83I;ParC-80I;QnrB1?	-	MphA	-	CatB4	-	SulI;SulII	TetA	-	DfrA12;DfrA14	-	OXA-1;OXA-9;TEM-1D^	-	CTX-M-15	-	SHV-1?	-	S	R	R	R	R	R	R	ND	ND	R	R	R	R	S	S	S	R	S	R	R	S	ND	S	R	R	R	ND	R	R	R	R	R	2018-01-02	2018.0	1.0	2.0	HUMAN			hospital	hospital_2	mammal	human	human	human hospital	inpatient	feces		5815452	66	88112.91	896077	323	143	6	372323	5	207815	9	96130	18
SPARK_1015_C1	Klebsiella pneumoniae	K.pne	K.pne SPEC	K.pne_SC65_ST1106	SC65	ST1106	SCAI	human - hospital carriage	human	0	0.0	1.0	0.0	-	0	-	0	-	0	-	0	-	-	wzi162	KL122	none	Very high	99.93%		O2v2	none	Very high	98.48%		ST1106	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	SHV-11^	-	S	S	R	S	S	S	S	ND	ND	S	S	S	S	S	S	S	S	S	S	ND	S	ND	ND	S	S	S	ND	S	I	S	S	S	2018-01-04	2018.0	1.0	4.0	HUMAN			hospital	hospital_2	mammal	human	human	human hospital	inpatient	feces		5464781	28	195170.75	919740	305	19	5	407621	5	355938	8	161429	12
SPARK_1015_C2	Klebsiella pneumoniae	K.pne	K.pne SPEC	K.pne_SC65_ST1106	SC65	ST1106	SCAI	human - hospital carriage	human	0	0.0	1.0	0.0	-	0	-	0	-	0	-	0	-	-	wzi162	KL122	none	Very high	99.93%		O2v2	none	Very high	98.48%		ST1106	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	SHV-11^	-	S	S	R	S	S	S	S	ND	ND	S	S	S	S	S	I	S	S	S	S	ND	S	ND	ND	S	S	S	ND	S	I	S	S	S	2018-01-04	2018.0	1.0	4.0	HUMAN			hospital	hospital_2	mammal	human	human	human hospital	inpatient	feces		5502255	24	229260.62	919922	516	633	5	435069	5	335345	8	169665	12
SPARK_1016_C1	Klebsiella michiganensis	K.mic	K.oxy SPEC	K.mic_SC34_NA	SC34		SCAI	cow	other mammals	0	0.0	6.0	10.0	-	0	-	0	-	0	-	0	-	-	-	KL66	?-+	Good	99.80%	KL66_20_ugd	O1v1	-+*	Good	72.44%	O1/O2v1_03_wbbM,O1/O2v1_05_wbbN,O1/O2v1_07_kfoC		-	-	-	-	-	-	-	-	-	Aph3''Ia;StrA^;StrB	-	-	Qnr-S1	-	-	-	FloR*	-	SulII	TetA	-	DfrA14	-	LAP-2;OXY1-1*	-	-	-	-	-	S	S	R	S	S	S	S		ND	S	S	S	R	S	S	S	S	S	R	ND	S	ND	S	R	S	S	ND	S	S	S	R	R	2018-01-08	2018.0	1.0	8.0	ANIMAL		Pavia_province_167	farm	farm_25	mammal	cattle	cow	livestock		rectal_swab	Cow_8242	5927869	52	113997.48	440497	307	339	7	189446	10	153490	17	83548	27
SPARK_1018_C1	Klebsiella pneumoniae	K.pne	K.pne SPEC	K.pne_SC3_ST512	SC3	ST512	SCAI	human - hospital carriage	human	0	2.0	6.0	6.0	-	0	-	0	-	0	-	0	-	-	wzi154	KL107	none	Very high	100.00%		O2v2	-	High	98.36%	O1/O2v2_08_gmlC	ST512	-	-	-	-	-	-	-	-	-	Aac6-Ib;AadA2^	-	-	GyrA-83I;ParC-80I	-	-	-	-	-	SulI;SulIII	-	-	DfrA12	OmpK35-25%	-	KPC-3	-	-	SHV-11	-	R	R	R	R	R	R	R	ND	ND	R	R	R	R	S	R	R	S	R	R	R	R	ND	R	R	R	R	ND	R	I	R	R	R	2018-01-10	2018.0	1.0	10.0	HUMAN			hospital	hospital_2	mammal	human	human	human hospital	inpatient	feces		5678282	58	97901.41	434839	581	778	8	281737	9	129767	14	64708	27
SPARK_1018_C2	Klebsiella pneumoniae	K.pne	K.pne SPEC	K.pne_SC3_ST512	SC3	ST512	SCAI	human - hospital carriage	human	0	0.0	5.0	5.0	-	0	-	0	-	0	-	0	-	-	wzi154	KL107	none	Very high	100.00%		OL102	-*	None	88.02%	OL102_05_wbbL,OL102_06_rhamnan,OL102_07_wzm,OL102_08_wzt	ST512	-	-	-	-	-	-	-	-	-	Aac6-Ib;AadA2^	-	-	GyrA-83I;ParC-80I	-	-	-	-	-	SulI;SulIII	-	-	DfrA12	OmpK35-25%	-	-	-	-	SHV-11	-	R	S	R	S	S	S	S	ND	ND	S	S	S	R	S	S	R	I	S	R	ND	S	ND	R	R	S	S	ND	S	I	R	R	R	2018-01-10	2018.0	1.0	10.0	HUMAN			hospital	hospital_2	mammal	human	human	human hospital	inpatient	feces		5599891	59	94913.41	434660	495	764	7	238004	9	111290	15	65268	28
SPARK_1019_C1	Klebsiella pneumoniae	K.pne	K.pne SPEC	K.pne_SC20_ST111	SC20	ST111	SCAI	human - hospital carriage	human	1	0.0	1.0	0.0	ybt unknown	0	-	0	-	0	-	0	-	-	wzi323	KL62	none	Very high	99.93%		O1v1	none	Very high	98.87%		ST111	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	SHV-11^	-	S	S	R	S	S	S	S	ND	ND	S	S	S	S	S	S	S	S	S	S	ND	S	ND	S	S	S	S	ND	S	I	S	S	S	2018-01-18	2018.0	1.0	18.0	HUMAN			hospital	hospital_4	mammal	human	human	human hospital	inpatient	feces		5412769	27	200472.93	1038902	377	428	6	398893	5	362542	8	164465	12
SPARK_101_C1	Klebsiella pneumoniae	K.pne	K.pne SPEC	K.pne_SC65_ST1106	SC65	ST1106	SCAI	surface - farm	surface	0	0.0	1.0	0.0	-	0	-	0	-	0	-	0	-	-	wzi162	KL122	none	Very high	99.94%		O2v2	none	Very high	98.48%		ST1106	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	SHV-11^	-	S	S	R	S	S	S	S		ND	S	S	S	S	S	S	S	S	S	S	ND	S	ND	S	S	S	S	ND	S	I	S	S	S	2017-07-26	2017.0	7.0	26.0	ENVIRONMENTAL	surface	Pavia_province_2	farm	farm_1	environment		surface	environment		swab	bull_fodder	5666469	34	166660.85	921168	423	470	6	646065	4	435668	7	132267	10
SPARK_101_C2	Klebsiella pneumoniae	K.pne	K.pne SPEC	K.pne_SC65_ST1106	SC65	ST1106	SCAI	surface - farm	surface	0	0.0	1.0	0.0	-	0	-	0	-	0	-	0	-	-	wzi162	KL122	none	Very high	99.94%		O2v2	none	Very high	98.48%		ST1106	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	SHV-11^	-	S	S	R	S	S	S	S		ND	S	S	S	S	S	S	S	S	S	S	ND	S	ND	S	S	S	S	ND	S	I	S	S	S	2017-07-26	2017.0	7.0	26.0	ENVIRONMENTAL	surface	Pavia_province_2	farm	farm_1	environment		surface	environment		swab	bull_fodder	5665952	28	202355.43	927870	1010	99	6	472570	4	376501	7	346400	10
SPARK_1020_C1	Klebsiella pneumoniae	K.pne	K.pne SPEC	K.pne_SC2_ST17	SC2	ST20	SCAI	human - hospital carriage	human	0	0.0	0.0	0.0	-	0	-	0	-	0	-	0	-	-	wzi33	KL64	none	Very high	99.85%		O1v1	none	Very high	99.43%		ST20	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	SHV-187	-	-	-	-	-	S	S	R	S	S	S	S	ND	ND	S	S	S	S	S	S	S	S	S	S	ND	S	ND	ND	S	S	S	ND	S	S	S	S	S	2018-01-22	2018.0	1.0	22.0	HUMAN			hospital	hospital_2	mammal	human	human	human hospital	inpatient	feces		5526233	41	134786.17	925250	487	8	1	394949	5	274011	8	102494	15
